epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,219.454,0.48037,0.39528,1.08162,0.8972,0.53997,0.74438,0.46435,1.57871,2.04742,1.37091,1.43596e-05,1.43596e-05,1.43596e-05
89,221.866,0.68726,0.5899,1.1012,0.8972,0.53997,0.74438,0.46435,1.57871,2.04742,1.37091,1.34879e-05,1.34879e-05,1.34879e-05
90,224.25,0.50687,0.50594,0.94814,0.8972,0.53997,0.74438,0.46435,1.57871,2.04742,1.37091,1.25927e-05,1.25927e-05,1.25927e-05
91,226.563,0.41387,0.35999,0.99059,0.8972,0.53997,0.74438,0.46435,1.57871,2.04742,1.37091,1.16739e-05,1.16739e-05,1.16739e-05
92,228.971,0.33855,0.32844,0.82192,0.88076,0.53705,0.74361,0.45186,1.58428,2.02461,1.37762,1.07315e-05,1.07315e-05,1.07315e-05
93,231.511,0.51441,0.41019,1.0654,0.88076,0.53705,0.74361,0.45186,1.58428,2.02461,1.37762,9.76562e-06,9.76562e-06,9.76562e-06
94,233.791,0.44021,0.35067,0.9652,0.88076,0.53705,0.74361,0.45186,1.58428,2.02461,1.37762,8.77613e-06,8.77613e-06,8.77613e-06
95,236.097,0.58473,0.48965,1.2032,0.88076,0.53705,0.74361,0.45186,1.58428,2.02461,1.37762,7.76308e-06,7.76308e-06,7.76308e-06
96,238.45,0.41505,0.36162,0.94742,0.87281,0.54197,0.74383,0.45374,1.53659,2.0137,1.35155,6.72648e-06,6.72648e-06,6.72648e-06
97,240.791,0.36633,0.32252,0.8873,0.87281,0.54197,0.74383,0.45374,1.53659,2.0137,1.35155,5.6663e-06,5.6663e-06,5.6663e-06
98,243.389,0.40919,0.34964,0.96966,0.87281,0.54197,0.74383,0.45374,1.53659,2.0137,1.35155,4.58257e-06,4.58257e-06,4.58257e-06
99,245.818,0.43659,0.39764,0.88836,0.87281,0.54197,0.74383,0.45374,1.53659,2.0137,1.35155,3.47528e-06,3.47528e-06,3.47528e-06
100,248.383,0.37122,0.32894,0.88294,0.85685,0.55213,0.73672,0.46533,1.51957,2.01211,1.34955,2.34442e-06,2.34442e-06,2.34442e-06
